City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,kokshetau,53.2775,69.3883,-24.82,84,99,2.0,KZ,1706671004
314,port douglas,-16.4833,145.4667,32.44,64,100,2.93,AU,1706671035
315,bealanana,-14.55,48.7333,17.9,97,45,0.53,MG,1706671044
316,gornopravdinsk,60.05,69.9,-12.7,95,100,3.73,RU,1706671056
317,bako,5.7833,36.5667,21.48,54,100,0.96,ET,1706671060
318,glendive,47.1053,-104.7125,10.1,81,0,2.06,US,1706671064
319,bu'aale,1.0833,42.5833,24.49,84,99,4.11,SO,1706671067
320,mahavelona,-17.6848,49.5087,24.99,82,42,4.1,MG,1706671068
321,ad dabbah,18.05,30.95,12.76,36,34,5.43,SD,1706671072
322,yanbu,24.0891,38.0637,12.02,82,0,1.54,SA,1706671074
323,notodden,59.5594,9.2585,-6.55,92,35,2.29,NO,1706671077
324,puerto aysen,-45.4,-72.7,14.25,99,100,3.07,CL,1706671081
325,damboa,11.156,12.7576,17.91,33,0,3.03,NG,1706671089
326,dwarka,22.2394,68.9678,22.95,75,100,3.76,IN,1706671094
327,sabac,44.7467,19.69,-1.68,69,0,1.93,RS,1706671097
328,saint-francois,46.4154,3.9054,5.36,100,100,1.03,FR,1706671099
329,datong,40.0936,113.2914,-7.46,71,100,2.13,CN,1706670988
330,tuyen quang,21.8233,105.2181,17.38,84,100,0.65,VN,1706671105
331,rongelap,11.1635,166.8941,25.85,76,100,8.56,MH,1706671108
332,al bardiyah,31.7561,25.0865,12.06,58,100,10.05,LY,1706671114
333,letlhakeng,-24.0944,25.0298,21.53,65,7,3.86,BW,1706671117
334,ilebo,-4.3167,20.5833,21.93,99,100,0.81,CD,1706671096
335,vilhena,-12.7406,-60.1458,21.5,92,98,0.83,BR,1706671123
336,al hada,21.3675,40.2869,6.66,81,49,2.06,SA,1706671126
337,rawai,7.7797,98.3253,29.06,63,74,4.37,TH,1706671129
338,bakau,13.4781,-16.6819,22.08,73,95,1.54,GM,1706671132
339,medicine hat,50.0501,-110.6683,9.84,66,75,1.54,CA,1706671138
340,jayapura,-2.5333,140.7,32.66,79,93,3.04,ID,1706671140
341,zaozersk,69.4005,32.4476,0.56,77,100,15.69,RU,1706671144
342,daru,-9.0763,143.2092,28.56,82,100,3.08,PG,1706671146
343,okha,53.5739,142.9478,-17.82,89,99,7.15,RU,1706670981
344,mpulungu,-8.7623,31.1141,21.52,93,100,2.38,ZM,1706671149
345,bardai,11.65,7.2333,18.48,18,47,5.92,NG,1706671152
346,mormugao,15.4,73.8,21.59,83,20,1.54,IN,1706671155
347,santarem,-2.4431,-54.7083,25.07,100,0,2.06,BR,1706671024
348,manokwari,-0.8667,134.0833,28.91,70,99,2.95,ID,1706671160
349,mead,47.7674,-117.3549,5.24,93,0,0.0,US,1706671162
350,igrim,63.1906,64.4162,-13.52,97,100,1.25,RU,1706671165
351,tantou,26.0314,119.5986,17.87,77,75,2.0,CN,1706671168
352,salinopolis,-0.6136,-47.3561,28.06,78,100,6.77,BR,1706671175
353,praya,14.9215,-23.5087,22.3,73,75,5.66,CV,1706671178
354,grand-lahou,5.1367,-5.0242,26.34,86,30,4.08,CI,1706671181
355,santo antonio,-6.3106,-35.4789,24.52,82,4,2.26,BR,1706671184
